dest_ip,dest_port
38.145.203.244,8448
103.147.98.122,8080
129.226.155.60,3128
45.88.0.117,3128
182.253.204.196,8080
5.129.206.247,8888
38.34.179.24,8443
177.193.203.37,8080
116.80.96.104,3172
45.136.130.225,8450
49.144.17.15,8082
116.80.49.162,3172
147.45.251.242,8888
116.80.65.83,3172
116.80.64.44,7777
116.80.65.78,3172
116.80.49.170,3172
8.222.202.237,8089
45.4.202.147,999
165.227.5.10,8888
38.34.178.63,8450
38.34.179.189,8443
178.236.245.17,3128
5.102.109.41,999
116.80.96.110,3172
190.242.157.215,8080
180.190.202.141,8082
103.116.82.149,8080
38.145.203.236,8443
103.150.254.80,9108
103.3.246.71,3128
176.113.209.197,8080
41.65.71.134,1976
45.65.137.218,999
45.136.130.216,8443
116.80.49.165,3172
149.50.116.240,1080
190.12.150.244,999
116.80.95.238,7777
185.128.240.77,8080
38.194.224.134,1452
45.177.178.23,999
137.220.128.149,8866
45.88.0.115,3128
8.222.175.80,6128
109.111.242.134,6666
202.5.53.145,9355
137.220.150.104,6005
38.34.178.111,8450
116.80.60.44,7777
8.209.239.31,30000
209.141.62.12,5555
186.148.180.46,999
116.80.65.76,3172
150.249.255.91,3128
173.212.246.157,3128
38.34.179.54,8443
113.160.132.26,8080
177.234.217.236,999
203.76.220.126,16464
41.216.186.46,8181
36.94.27.65,8080
103.133.24.5,8080
203.96.226.154,8080
116.80.96.100,3172
66.231.77.68,999
160.250.4.245,1
45.88.0.111,3128
103.189.249.145,1111
137.220.151.110,6005
45.182.177.81,9947
181.78.194.249,999
98.154.21.253,4228
45.136.130.242,8443
103.112.130.14,8080
160.250.5.22,1
38.34.179.17,8443
116.80.65.75,3172
85.198.96.242,3128
116.80.96.95,3172
103.78.83.23,8083
121.126.185.63,25152
31.128.37.253,65535
109.73.195.10,8888
45.167.20.31,999
119.155.143.218,8080
200.201.134.184,8787
103.210.119.107,7777
185.115.74.185,8080
116.80.49.159,3172
103.135.102.161,8081
203.111.253.146,8080
168.181.87.9,8080
116.80.96.101,3172
213.230.110.191,3128
103.172.70.195,1111
103.172.17.28,8080
103.166.91.138,8090
45.225.89.145,999
103.155.190.134,1080
116.80.96.102,3172
211.217.231.234,8080
16.78.119.130,443
133.242.138.34,8100
45.119.85.216,3128
168.235.110.63,3128
178.236.245.59,3128
77.242.21.133,8080
116.80.65.85,3172
202.47.188.191,8080
116.80.49.156,3172
24.72.215.236,8246
219.117.204.211,7799
45.230.169.225,999
147.161.210.140,8800
94.155.175.135,8080
202.52.48.174,4444
104.129.202.127,12354
116.80.49.163,3172
116.80.49.161,3172
202.155.12.161,443
160.19.41.61,80
101.255.157.6,8080
144.31.0.166,3128
116.80.49.172,3172
190.97.254.254,999
45.136.130.240,8448
38.188.247.12,999
79.106.231.17,8080
72.56.79.129,1080
103.148.178.10,80
116.80.96.105,3172
192.73.243.65,3128
194.163.183.242,3128
43.245.131.90,8080
38.145.220.150,8450
168.194.248.18,8080
222.127.55.149,8082
194.87.43.49,8888
101.255.106.94,8080
200.24.130.148,999
24.119.238.146,10000
38.145.220.198,8448
185.241.5.57,3128
200.174.198.32,8888
101.47.73.135,3128
203.177.237.138,8282
202.154.241.199,808
186.156.147.243,999
15.204.151.142,3128
181.78.195.137,999
213.220.62.62,3128
38.145.203.241,8450
144.124.227.88,3128
