dest_ip,dest_port,metadata_comment
172.67.192.16,80,proxylist.txt
23.227.38.230,80,proxylist.txt
172.67.70.93,80,proxylist.txt
172.67.181.162,80,proxylist.txt
8.35.211.202,80,proxylist.txt
108.162.193.142,80,proxylist.txt
141.101.113.90,80,proxylist.txt
172.67.212.218,80,proxylist.txt
172.64.144.78,80,proxylist.txt
172.67.163.214,80,proxylist.txt
172.67.204.246,80,proxylist.txt
141.101.122.51,80,proxylist.txt
141.101.121.121,80,proxylist.txt
141.101.120.212,80,proxylist.txt
141.101.121.98,80,proxylist.txt
141.101.120.170,80,proxylist.txt
172.67.192.48,80,proxylist.txt
23.227.38.49,80,proxylist.txt
23.227.38.212,80,proxylist.txt
23.227.38.160,80,proxylist.txt
172.67.255.212,80,proxylist.txt
172.67.181.34,80,proxylist.txt
172.67.182.34,80,proxylist.txt
172.67.71.105,80,proxylist.txt
141.101.113.30,80,proxylist.txt
141.101.114.209,80,proxylist.txt
172.67.72.165,80,proxylist.txt
108.162.198.72,80,proxylist.txt
188.114.99.236,80,proxylist.txt
173.245.49.168,80,proxylist.txt
172.64.35.17,80,proxylist.txt
172.67.70.106,80,proxylist.txt
141.101.113.121,80,proxylist.txt
188.114.96.81,80,proxylist.txt
188.114.96.55,80,proxylist.txt
141.101.122.183,80,proxylist.txt
141.101.120.236,80,proxylist.txt
141.101.120.113,80,proxylist.txt
172.67.192.44,80,proxylist.txt
172.67.172.179,80,proxylist.txt
23.227.38.116,80,proxylist.txt
172.67.70.20,80,proxylist.txt
192.252.210.233,4145,proxylist.txt
142.54.236.97,4145,proxylist.txt
98.170.57.231,4145,proxylist.txt
172.65.90.2,80,proxylist.txt
5.255.117.127,1080,proxylist.txt
48.210.225.96,80,proxylist.txt
203.99.240.182,80,proxylist.txt
139.60.209.2,80,proxylist.txt
108.162.193.204,80,proxylist.txt
176.126.164.213,80,proxylist.txt
141.101.113.122,80,proxylist.txt
172.67.146.43,80,proxylist.txt
173.245.58.158,80,proxylist.txt
172.64.147.119,80,proxylist.txt
172.67.217.61,80,proxylist.txt
172.67.161.253,80,proxylist.txt
63.141.128.194,80,proxylist.txt
23.227.39.60,80,proxylist.txt
23.227.39.30,80,proxylist.txt
188.114.99.234,80,proxylist.txt
141.101.122.70,80,proxylist.txt
141.101.121.208,80,proxylist.txt
141.101.121.92,80,proxylist.txt
172.67.93.174,80,proxylist.txt
172.67.181.251,80,proxylist.txt
23.227.38.55,80,proxylist.txt
23.227.38.191,80,proxylist.txt
