dest_ip,metadata_comment
150.95.32.0/24,AS7506 IPv4
150.95.57.0/24,AS7506 IPv4
160.251.88.0/22,AS7506 IPv4
150.95.219.0/24,AS7506 IPv4
150.95.46.0/24,AS7506 IPv4
210.172.176.0/21,AS7506 IPv4
211.125.88.0/21,AS7506 IPv4
163.44.72.0/21,AS7506 IPv4
150.95.49.0/24,AS7506 IPv4
157.7.101.0/24,AS7506 IPv4
211.125.72.0/21,AS7506 IPv4
157.7.151.0/24,AS7506 IPv4
150.95.42.0/24,AS7506 IPv4
210.172.183.0/24,AS7506 IPv4
163.44.224.0/19,AS7506 IPv4
210.157.0.0/20,AS7506 IPv4
160.251.71.0/24,AS7506 IPv4
133.130.87.0/24,AS7506 IPv4
150.95.45.0/24,AS7506 IPv4
211.125.64.0/21,AS7506 IPv4
157.7.112.0/21,AS7506 IPv4
118.27.122.0/24,AS7506 IPv4
150.95.34.0/24,AS7506 IPv4
163.44.239.0/24,AS7506 IPv4
150.95.249.0/24,AS7506 IPv4
2400:8500:1000::/36,AS7506 IPv6
118.27.99.0/24,AS7506 IPv4
163.44.242.0/24,AS7506 IPv4
150.95.51.0/24,AS7506 IPv4
157.7.48.0/20,AS7506 IPv4
210.253.96.0/20,AS7506 IPv4
163.44.240.0/24,AS7506 IPv4
150.95.53.0/24,AS7506 IPv4
150.95.36.0/24,AS7506 IPv4
150.95.47.0/24,AS7506 IPv4
203.189.96.0/20,AS7506 IPv4
118.27.123.0/24,AS7506 IPv4
150.95.58.0/24,AS7506 IPv4
2400:8500:9d07::/48,AS7506 IPv6
2400:8500:d29d::/48,AS7506 IPv6
157.7.96.0/20,AS7506 IPv4
211.125.90.0/23,AS7506 IPv4
163.44.93.0/24,AS7506 IPv4
150.95.38.0/24,AS7506 IPv4
150.95.48.0/24,AS7506 IPv4
160.251.0.0/18,AS7506 IPv4
210.172.160.0/20,AS7506 IPv4
150.95.50.0/24,AS7506 IPv4
157.7.128.0/17,AS7506 IPv4
150.95.39.0/24,AS7506 IPv4
103.3.188.0/22,AS7506 IPv4
160.251.92.0/22,AS7506 IPv4
150.95.43.0/24,AS7506 IPv4
210.253.112.0/20,AS7506 IPv4
210.172.128.0/19,AS7506 IPv4
133.130.64.0/18,AS7506 IPv4
150.95.44.0/24,AS7506 IPv4
163.44.241.0/24,AS7506 IPv4
118.27.124.0/24,AS7506 IPv4
210.172.159.0/24,AS7506 IPv4
157.7.102.0/24,AS7506 IPv4
211.125.95.0/24,AS7506 IPv4
160.251.96.0/19,AS7506 IPv4
157.7.103.0/24,AS7506 IPv4
150.95.55.0/24,AS7506 IPv4
157.7.178.0/24,AS7506 IPv4
150.95.54.0/24,AS7506 IPv4
163.44.80.0/20,AS7506 IPv4
160.251.80.0/22,AS7506 IPv4
150.95.35.0/24,AS7506 IPv4
150.95.33.0/24,AS7506 IPv4
163.44.187.0/24,AS7506 IPv4
150.95.40.0/24,AS7506 IPv4
150.95.32.0/19,AS7506 IPv4
163.44.238.0/24,AS7506 IPv4
163.44.243.0/24,AS7506 IPv4
163.44.160.0/20,AS7506 IPv4
163.44.245.0/24,AS7506 IPv4
160.251.64.0/20,AS7506 IPv4
210.172.158.0/24,AS7506 IPv4
210.157.16.0/20,AS7506 IPv4
163.44.244.0/24,AS7506 IPv4
157.7.40.0/21,AS7506 IPv4
2400:8500:d37d::/48,AS7506 IPv6
133.130.32.0/19,AS7506 IPv4
150.95.59.0/24,AS7506 IPv4
118.27.100.0/24,AS7506 IPv4
150.95.56.0/24,AS7506 IPv4
133.130.86.0/24,AS7506 IPv4
157.7.177.0/24,AS7506 IPv4
150.95.128.0/17,AS7506 IPv4
163.44.177.0/24,AS7506 IPv4
133.130.16.0/20,AS7506 IPv4
157.7.64.0/19,AS7506 IPv4
118.27.95.0/24,AS7506 IPv4
150.95.37.0/24,AS7506 IPv4
150.95.41.0/24,AS7506 IPv4
163.44.176.0/20,AS7506 IPv4
2400:8500:cbbd::/48,AS7506 IPv6
2400:8500:6703::/48,AS7506 IPv6
150.95.52.0/24,AS7506 IPv4
157.7.36.0/22,AS7506 IPv4
118.27.0.0/17,AS7506 IPv4
