dest_ip,metadata_comment
93.123.39.0/24,AS213702 IPv4
2a12:bec4:1c70::/44,AS213702 IPv6
95.164.55.0/24,AS213702 IPv4
132.243.212.0/24,AS213702 IPv4
2a12:bec4:1460::/44,AS213702 IPv6
95.164.53.0/24,AS213702 IPv4
178.17.59.0/24,AS213702 IPv4
2a12:bec4:150::/44,AS213702 IPv6
2a12:bec4:1a70::/44,AS213702 IPv6
2a12:bec4:1c90::/44,AS213702 IPv6
141.98.6.0/24,AS213702 IPv4
2a12:bec4:2000::/44,AS213702 IPv6
31.77.56.0/24,AS213702 IPv4
31.77.247.0/24,AS213702 IPv4
150.241.93.0/24,AS213702 IPv4
95.164.123.0/24,AS213702 IPv4
