dest_ip,metadata_comment
23.94.252.0/24,AS207043 IPv4
85.239.149.0/24,AS207043 IPv4
151.247.228.0/24,AS207043 IPv4
2a03:5840:129::/48,AS207043 IPv6
167.148.195.0/24,AS207043 IPv4
151.243.28.0/24,AS207043 IPv4
89.126.227.0/24,AS207043 IPv4
94.26.90.0/24,AS207043 IPv4
151.240.151.0/24,AS207043 IPv4
2.27.248.0/24,AS207043 IPv4
87.58.206.0/24,AS207043 IPv4
151.243.18.0/24,AS207043 IPv4
23.94.145.0/24,AS207043 IPv4
91.92.43.0/24,AS207043 IPv4
96.62.218.0/24,AS207043 IPv4
2.27.160.0/24,AS207043 IPv4
82.25.63.0/24,AS207043 IPv4
96.62.71.0/24,AS207043 IPv4
93.152.224.0/24,AS207043 IPv4
93.152.220.0/24,AS207043 IPv4
151.243.113.0/24,AS207043 IPv4
94.26.83.0/24,AS207043 IPv4
89.34.90.0/24,AS207043 IPv4
193.111.117.0/24,AS207043 IPv4
85.11.161.0/24,AS207043 IPv4
91.92.33.0/24,AS207043 IPv4
2.27.168.0/24,AS207043 IPv4
93.152.205.0/24,AS207043 IPv4
85.239.144.0/24,AS207043 IPv4
91.92.34.0/24,AS207043 IPv4
