dest_ip,metadata_comment
105.233.136.0/22,AS36874 IPv4
196.22.248.0/24,AS36874 IPv4
105.233.4.0/23,AS36874 IPv4
2c0f:fbe1:3005::/48,AS36874 IPv6
105.233.80.0/22,AS36874 IPv4
105.233.16.0/24,AS36874 IPv4
196.22.248.0/21,AS36874 IPv4
105.233.172.0/22,AS36874 IPv4
196.22.240.0/21,AS36874 IPv4
2c0f:fbe1:6::/48,AS36874 IPv6
196.41.112.0/20,AS36874 IPv4
196.22.253.0/24,AS36874 IPv4
41.177.0.0/16,AS36874 IPv4
105.233.48.0/22,AS36874 IPv4
105.233.156.0/23,AS36874 IPv4
105.233.15.0/24,AS36874 IPv4
105.233.188.0/24,AS36874 IPv4
105.233.112.0/22,AS36874 IPv4
105.233.164.0/22,AS36874 IPv4
105.233.8.0/23,AS36874 IPv4
105.233.104.0/22,AS36874 IPv4
105.233.92.0/22,AS36874 IPv4
105.233.130.0/23,AS36874 IPv4
105.233.60.0/22,AS36874 IPv4
105.233.159.0/24,AS36874 IPv4
41.177.30.0/24,AS36874 IPv4
105.233.0.0/17,AS36874 IPv4
105.233.64.0/22,AS36874 IPv4
196.41.96.0/20,AS36874 IPv4
196.41.96.0/19,AS36874 IPv4
105.233.86.0/23,AS36874 IPv4
105.233.128.0/17,AS36874 IPv4
105.233.18.0/24,AS36874 IPv4
2c0f:fbe1:4::/48,AS36874 IPv6
105.233.180.0/22,AS36874 IPv4
105.233.56.0/22,AS36874 IPv4
41.177.31.0/24,AS36874 IPv4
2c0f:fbe1:1000::/36,AS36874 IPv6
41.177.128.0/18,AS36874 IPv4
196.22.248.0/22,AS36874 IPv4
41.177.64.0/18,AS36874 IPv4
196.22.240.0/24,AS36874 IPv4
105.233.189.0/24,AS36874 IPv4
196.22.252.0/24,AS36874 IPv4
105.233.168.0/22,AS36874 IPv4
105.233.132.0/22,AS36874 IPv4
105.233.227.0/24,AS36874 IPv4
196.22.244.0/24,AS36874 IPv4
105.233.2.0/23,AS36874 IPv4
105.233.24.0/24,AS36874 IPv4
105.233.235.0/24,AS36874 IPv4
105.233.21.0/24,AS36874 IPv4
105.233.28.0/24,AS36874 IPv4
105.233.144.0/22,AS36874 IPv4
105.233.240.0/22,AS36874 IPv4
105.233.20.0/24,AS36874 IPv4
2c0f:fbe0::/28,AS36874 IPv6
2c0f:fbe1:2::/48,AS36874 IPv6
105.233.224.0/24,AS36874 IPv4
105.233.176.0/22,AS36874 IPv4
105.233.184.0/22,AS36874 IPv4
41.177.0.0/17,AS36874 IPv4
105.233.148.0/22,AS36874 IPv4
105.233.88.0/22,AS36874 IPv4
41.177.0.0/18,AS36874 IPv4
41.177.29.0/24,AS36874 IPv4
105.233.228.0/22,AS36874 IPv4
105.233.72.0/22,AS36874 IPv4
2c0f:fbe1::/48,AS36874 IPv6
105.233.17.0/24,AS36874 IPv4
105.233.47.0/24,AS36874 IPv4
2c0f:fbe1:3006::/48,AS36874 IPv6
105.233.236.0/22,AS36874 IPv4
105.233.0.0/16,AS36874 IPv4
105.233.76.0/22,AS36874 IPv4
105.233.124.0/22,AS36874 IPv4
196.22.240.0/20,AS36874 IPv4
105.233.12.0/23,AS36874 IPv4
105.233.140.0/22,AS36874 IPv4
41.177.192.0/18,AS36874 IPv4
105.233.152.0/22,AS36874 IPv4
105.233.100.0/22,AS36874 IPv4
105.233.10.0/23,AS36874 IPv4
41.177.128.0/17,AS36874 IPv4
105.233.98.0/23,AS36874 IPv4
105.233.192.0/22,AS36874 IPv4
105.233.25.0/24,AS36874 IPv4
196.22.254.0/23,AS36874 IPv4
