dest_ip,metadata_comment
2a0c:5c0::/29,AS51722 IPv6
94.131.108.0/24,AS51722 IPv4
153.56.211.0/24,AS51722 IPv4
2.56.127.0/24,AS51722 IPv4
194.62.54.0/24,AS51722 IPv4
2a03:f7c0::/29,AS51722 IPv6
2a0c:77c0::/29,AS51722 IPv6
45.136.5.0/24,AS51722 IPv4
2a0b:da00::/29,AS51722 IPv6
195.85.201.0/24,AS51722 IPv4
2a0d:3880::/29,AS51722 IPv6
38.107.125.0/24,AS51722 IPv4
31.40.196.0/24,AS51722 IPv4
185.234.66.0/24,AS51722 IPv4
45.89.52.0/24,AS51722 IPv4
2a06:ddc0::/29,AS51722 IPv6
2a0e:36c6:2000::/48,AS51722 IPv6
62.3.12.0/24,AS51722 IPv4
2a0b:7780::/29,AS51722 IPv6
92.249.62.0/24,AS51722 IPv4
193.46.56.0/24,AS51722 IPv4
185.153.182.0/24,AS51722 IPv4
103.231.75.0/24,AS51722 IPv4
153.56.180.0/24,AS51722 IPv4
94.131.123.0/24,AS51722 IPv4
5.180.45.0/24,AS51722 IPv4
78.135.73.0/24,AS51722 IPv4
194.55.136.0/24,AS51722 IPv4
2a0b:e9c0::/29,AS51722 IPv6
2a0c:aa40::/29,AS51722 IPv6
2a0d:2dc0::/29,AS51722 IPv6
45.12.143.0/24,AS51722 IPv4
