dest_ip,metadata_comment
45.12.134.0/24,AS209847 IPv4
194.246.114.0/24,AS209847 IPv4
5.181.20.0/24,AS209847 IPv4
2a11:3803::/32,AS209847 IPv6
2a0f:fd40::/29,AS209847 IPv6
141.98.161.0/24,AS209847 IPv4
5.180.45.0/24,AS209847 IPv4
94.131.100.0/24,AS209847 IPv4
185.153.181.0/24,AS209847 IPv4
94.131.123.0/24,AS209847 IPv4
2a14:3883:1::/48,AS209847 IPv6
185.153.182.0/24,AS209847 IPv4
45.12.135.0/24,AS209847 IPv4
194.156.98.0/24,AS209847 IPv4
2a14:2d82::/32,AS209847 IPv6
45.120.176.0/24,AS209847 IPv4
45.15.144.0/24,AS209847 IPv4
45.82.252.0/24,AS209847 IPv4
213.159.78.0/24,AS209847 IPv4
195.16.74.0/24,AS209847 IPv4
2a14:2d86::/32,AS209847 IPv6
45.140.146.0/24,AS209847 IPv4
45.15.152.0/24,AS209847 IPv4
2a11:3805::/32,AS209847 IPv6
185.235.240.0/24,AS209847 IPv4
185.203.5.0/24,AS209847 IPv4
86.104.74.0/24,AS209847 IPv4
185.156.108.0/24,AS209847 IPv4
185.74.222.0/24,AS209847 IPv4
2.56.127.0/24,AS209847 IPv4
194.4.49.0/24,AS209847 IPv4
45.15.127.0/24,AS209847 IPv4
103.106.0.0/24,AS209847 IPv4
185.231.205.0/24,AS209847 IPv4
2a0b:cf47::/32,AS209847 IPv6
213.59.116.0/24,AS209847 IPv4
194.31.109.0/24,AS209847 IPv4
2a11:4c05::/32,AS209847 IPv6
141.98.169.0/24,AS209847 IPv4
185.242.87.0/24,AS209847 IPv4
91.194.160.0/24,AS209847 IPv4
2a11:4c04::/32,AS209847 IPv6
185.231.206.0/24,AS209847 IPv4
185.234.66.0/24,AS209847 IPv4
213.159.70.0/24,AS209847 IPv4
45.84.0.0/24,AS209847 IPv4
2a0f:240::/29,AS209847 IPv6
92.118.234.0/24,AS209847 IPv4
95.164.22.0/24,AS209847 IPv4
213.159.68.0/24,AS209847 IPv4
2a0f:f380::/29,AS209847 IPv6
74.119.193.0/24,AS209847 IPv4
171.22.112.0/24,AS209847 IPv4
94.131.118.0/24,AS209847 IPv4
91.132.142.0/24,AS209847 IPv4
185.235.243.0/24,AS209847 IPv4
2a0f:20c0::/29,AS209847 IPv6
141.98.163.0/24,AS209847 IPv4
185.234.64.0/24,AS209847 IPv4
213.59.118.0/24,AS209847 IPv4
45.67.229.0/24,AS209847 IPv4
45.12.151.0/24,AS209847 IPv4
194.116.172.0/24,AS209847 IPv4
45.159.249.0/24,AS209847 IPv4
92.118.233.0/24,AS209847 IPv4
94.232.247.0/24,AS209847 IPv4
193.57.136.0/24,AS209847 IPv4
171.22.114.0/24,AS209847 IPv4
5.253.41.0/24,AS209847 IPv4
91.132.132.0/24,AS209847 IPv4
62.3.12.0/24,AS209847 IPv4
185.237.220.0/24,AS209847 IPv4
2a14:3083::/32,AS209847 IPv6
2a0e:300::/29,AS209847 IPv6
103.231.75.0/24,AS209847 IPv4
94.131.15.0/24,AS209847 IPv4
2a11:4c02::/32,AS209847 IPv6
213.59.113.0/24,AS209847 IPv4
45.89.109.0/24,AS209847 IPv4
45.92.162.0/24,AS209847 IPv4
185.250.148.0/24,AS209847 IPv4
94.232.244.0/24,AS209847 IPv4
2a11:3c01::/32,AS209847 IPv6
45.12.143.0/24,AS209847 IPv4
171.22.118.0/24,AS209847 IPv4
37.221.124.0/24,AS209847 IPv4
45.142.214.0/24,AS209847 IPv4
2a0b:cf46::/32,AS209847 IPv6
193.46.56.0/24,AS209847 IPv4
94.131.9.0/24,AS209847 IPv4
2a11:3c02::/32,AS209847 IPv6
2.56.173.0/24,AS209847 IPv4
77.91.103.0/24,AS209847 IPv4
45.89.52.0/24,AS209847 IPv4
94.131.108.0/24,AS209847 IPv4
195.42.233.0/24,AS209847 IPv4
45.12.146.0/24,AS209847 IPv4
2a09:7c45::/32,AS209847 IPv6
45.83.22.0/24,AS209847 IPv4
